uuid,name,description,local-name,local-description,class,datatype,shortname,is-set,reference-term-source,reference-term-code,reference-term-name,reference-term-relationship,units,high-normal,low-normal,member-of,member-of-sort-weight,answer-of,answer-of-sort-weight,,,,,,,,,,,,,,,,,,,,,,,
,Cholera,,"কলেরা, ওলাউঠা",,,,,,ICD10-BD,A00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Cholera due to Vibrio cholerae 01, biovar cholerae",,"কলেরা, ওলাউঠা",,,,,,ICD10-BD,A00.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Cholera due to Vibrio cholerae 01, biovar eltor",,"কলেরা, ওলাউঠা",,,,,,ICD10-BD,A00.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Cholera, unspecified",,,,,,,,ICD10-BD,A00.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Typhoid and paratyphoid fevers,,,,,,,,ICD10-BD,A01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Typhoid fever,,,,,,,,ICD10-BD,A01.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Paratyphoid fever A,,,,,,,,ICD10-BD,A01.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Paratyphoid fever B,,,,,,,,ICD10-BD,A01.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Paratyphoid fever C,,,,,,,,ICD10-BD,A01.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Paratyphoid fever, unspecified",,,,,,,,ICD10-BD,A01.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other salmonella infections,,,,,,,,ICD10-BD,A02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Salmonella enteritis,,,,,,,,ICD10-BD,A02.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Salmonella septicemia,,,,,,,,ICD10-BD,A02.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Localized salmonella infections,,,,,,,,ICD10-BD,A02.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other specified salmonella infections,,,,,,,,ICD10-BD,A02.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Salmonella infection, unspecified",,,,,,,,ICD10-BD,A02.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Shigellosis,,রক্ত আমাশয়,,,,,,ICD10-BD,A03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Shigellosis due to Shigella dysenteriae,,রক্ত আমাশয়,,,,,,ICD10-BD,A03.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Shigellosis due to Shigella flexneri,,রক্ত আমাশয়,,,,,,ICD10-BD,A03.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Shigellosis due to Shigella boydii,,রক্ত আমাশয়,,,,,,ICD10-BD,A03.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Shigellosis due to Shigella sonnei,,রক্ত আমাশয়,,,,,,ICD10-BD,A03.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other shigellosis,,রক্ত আমাশয়,,,,,,ICD10-BD,A03.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Shigellosis, unspecified",,,,,,,,ICD10-BD,A03.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other bacterial intestinal infections,,,,,,,,ICD10-BD,A04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Enteropathogenic Escherichia coli infection,,,,,,,,ICD10-BD,A04.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Enterotoxigenic Escherichia coli infection,,,,,,,,ICD10-BD,A04.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Enteroinvasive Escherichia coli infection,,,,,,,,ICD10-BD,A04.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Enterohemorrhagic Escherichia coli infection,,,,,,,,ICD10-BD,A04.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other intestinal Escherichia coli infections,,,,,,,,ICD10-BD,A04.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Campylobacter enteritis,,,,,,,,ICD10-BD,A04.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Enteritis due to Yersinia enterocolitica,,,,,,,,ICD10-BD,A04.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Enterocolitis due to Clostridium difficile,,,,,,,,ICD10-BD,A04.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other specified bacterial intestinal infections,,,,,,,,ICD10-BD,A04.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Bacterial intestinal infection, unspecified",,,,,,,,ICD10-BD,A04.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Other bacterial foodborne intoxications, not elsewhere classified",,,,,,,,ICD10-BD,A05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Foodborne staphylococcal intoxication,,,,,,,,ICD10-BD,A05.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Botulism,,,,,,,,ICD10-BD,A05.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Foodborne Clostridium perfringens [Clostridium welchii] intoxication,,,,,,,,ICD10-BD,A05.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Foodborne Vibrio parahemolyticus intoxication,,,,,,,,ICD10-BD,A05.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Foodborne Bacillus cereus intoxication,,,,,,,,ICD10-BD,A05.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other specified bacterial foodborne intoxications,,,,,,,,ICD10-BD,A05.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Bacterial foodborne intoxication, unspecified",,,,,,,,ICD10-BD,A05.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Amebiasis,,আমাশয়,,,,,,ICD10-BD,A06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Acute amebic dysentery,,,,,,,,ICD10-BD,A06.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Chronic intestinal amebiasis,,,,,,,,ICD10-BD,A06.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Amebic nondysenteric colitis,,,,,,,,ICD10-BD,A06.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ameboma of intestine,,,,,,,,ICD10-BD,A06.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Amebic liver abscess,,,,,,,,ICD10-BD,A06.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Amebic lung abscess,,,,,,,,ICD10-BD,A06.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Amebic brain abscess,,,,,,,,ICD10-BD,A06.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cutaneous amebiasis,,,,,,,,ICD10-BD,A06.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Amebic infection of other sites,,,,,,,,ICD10-BD,A06.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Amebiasis, unspecified",,,,,,,,ICD10-BD,A06.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other protozoal intestinal diseases,,,,,,,,ICD10-BD,A07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Balantidiasis,,,,,,,,ICD10-BD,A07.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Giardiasis [lambliasis],,,,,,,,ICD10-BD,A07.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cryptosporidiosis,,,,,,,,ICD10-BD,A07.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Isosporiasis,,,,,,,,ICD10-BD,A07.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other specified protozoal intestinal diseases,,,,,,,,ICD10-BD,A07.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
