optionsetid,optionvalue,,sort_order
2,A00 Cholera,,0
2,"A000 Cholera due to Vibrio cholerae 01, biovar cholerae",,1
2,"A001 Cholera due to Vibrio cholerae 01, biovar eltor",,2
2,"A009 Cholera, unspecified",,3
2,A01 Typhoid and paratyphoid fevers,,4
2,A010 Typhoid fever,,5
2,A011 Paratyphoid fever A,,6
2,A012 Paratyphoid fever B,,7
2,A013 Paratyphoid fever C,,8
2,"A014 Paratyphoid fever, unspecified",,9
2,A02 Other salmonella infections,,10
2,A020 Salmonella enteritis,,11
2,A021 Salmonella septicaemia,,12
2,A022 Localized salmonella infections,,13
2,A028 Other specified salmonella infections,,14
2,"A029 Salmonella infection, unspecified",,15
2,A03 Shigellosis,,16
2,A030 Shigellosis due to Shigella dysenteriae,,17
2,A031 Shigellosis due to Shigella flexneri,,18
2,A032 Shigellosis due to Shigella boydii,,19
2,A033 Shigellosis due to Shigella sonnei,,20
2,A038 Other shigellosis,,21
2,"A039 Shigellosis, unspecified",,22
2,A04 Other bacterial intestinal infections,,23
2,A040 Enteropathogenic Escherichia coli infection,,24
2,A041 Enterotoxigenic Escherichia coli infection,,25
2,A042 Enteroinvasive Escherichia coli infection,,26
2,A043 Enterohaemorrhagic Escherichia coli infection,,27
2,A044 Other intestinal Escherichia coli infections,,28
2,A045 Campylobacter enteritis,,29
2,A046 Enteritis due to Yersinia enterocolitica,,30
2,A047 Enterocolitis due to Clostridium difficile,,31
2,A048 Other specified bacterial intestinal infections,,32
2,"A049 Bacterial intestinal infection, unspecified",,33
2,A05 Other bacterial foodborne intoxications,,34
2,A050 Foodborne staphylococcal intoxication,,35
2,A051 Botulism,,36
2,A052 Foodborne Clostridium perfringens [Clostridium welchii] intoxication,,37
2,A053 Foodborne Vibrio parahaemolyticus intoxication,,38
2,A054 Foodborne Bacillus cereus intoxication,,39
2,A058 Other specified bacterial foodborne intoxications,,40
2,"A059 Bacterial foodborne intoxication, unspecified",,41
2,A06 Amoebiasis,,42
2,A060 Acute amoebic dysentery,,43
2,A061 Chronic intestinal amoebiasis,,44
2,A062 Amoebic nondysenteric colitis,,45
2,A063 Amoeboma of intestine,,46
2,A064 Amoebic liver abscess,,47
2,A065 Amoebic lung abscess,,48
2,A066 Amoebic brain abscess,,49
2,A067 Cutaneous amoebiasis,,50
2,A068 Amoebic infection of other sites,,51
2,"A069 Amoebiasis, unspecified",,52
2,A07 Other protozoal intestinal diseases,,53
2,A070 Balantidiasis,,54
2,A071 Giardiasis [lambliasis],,55
2,A072 Cryptosporidiosis,,56
2,A073 Isosporiasis,,57
2,A078 Other specified protozoal intestinal diseases,,58
2,"A079 Protozoal intestinal disease, unspecified",,59
2,A08 Viral and other specified intestinal infections,,60
2,A081 Acute gastroenteropathy due to Norwalk agent,,61
2,A082 Adenoviral enteritis,,62
2,A083 Other viral enteritis,,63
2,"A084 Viral intestinal infection, unspecified",,64
2,A085 Other specified intestinal infections,,65
2,A09 Diarrhoea and gastroenteritis of presumed infectious origin,,66
2,A090 Other and unspecified gastroenteritis and colitis of infectious origin,,67
2,A099 Gastroenteritis and colitis of unspecified origin,,68
2,"A15 Respiratory tuberculosis, bacteriologically and histologically confirmed",,69
2,"A150 Tuberculosis of lung, confirmed by sputum microscopy with or without culture",,70
2,"A151 Tuberculosis of lung, confirmed by culture only",,71
2,"A152 Tuberculosis of lung, confirmed histologically",,72
2,"A153 Tuberculosis of lung, confirmed by unspecified means",,73
2,"A154 Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically",,74
2,"A155 Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically",,75
2,"A156 Tuberculous pleurisy, confirmed bacteriologically and histologically",,76
2,"A157 Primary respiratory tuberculosis, confirmed bacteriologically and histologically",,77
2,"A158 Other respiratory tuberculosis, confirmed bacteriologically and histologically",,78
2,"A159 Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically",,79
2,"A16 Respiratory tuberculosis, not confirmed bacteriologically or histologically",,80
2,"A160 Tuberculosis of lung, bacteriologically and histologically negative",,81
2,"A161 Tuberculosis of lung, bacteriological and histological examination not done",,82
2,"A162 Tuberculosis of lung, without mention of bacteriological or histological confirmation",,83
2,"A163 Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation",,84
2,"A164 Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation",,85
2,"A165 Tuberculous pleurisy, without mention of bacteriological or histological confirmation",,86
2,A167 Primary respiratory tuberculosis without mention of bacteriological or histological confirmation,,87
2,A38 Scarlet fever,,201
2,"A168 Other respiratory tuberculosis, without mention of bacteriological or histological confirmation",,88
2,"A169 Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation",,89
2,A17 Tuberculosis of nervous system,,90
2,A170 Tuberculous meningitis,,91
2,A171 Meningeal tuberculoma,,92
2,A178 Other tuberculosis of nervous system,,93
2,"A179 Tuberculosis of nervous system, unspecified",,94
2,A18 Tuberculosis of other organs,,95
2,A180 Tuberculosis of bones and joints,,96
2,A181 Tuberculosis of genitourinary system,,97
2,A182 Tuberculous peripheral lymphadenopathy,,98
2,"A183 Tuberculosis of intestines, peritoneum and mesenteric glands",,99
2,A184 Tuberculosis of skin and subcutaneous tissue,,100
2,A185 Tuberculosis of eye,,101
2,A186 Tuberculosis of ear,,102
2,A187 Tuberculosis of adrenal glands,,103
2,A188 Tuberculosis of other specified organs,,104
2,A19 Miliary tuberculosis,,105
2,A190 Acute miliary tuberculosis of a single specified site,,106
2,A191 Acute miliary tuberculosis of multiple sites,,107
2,"A192 Acute miliary tuberculosis, unspecified",,108
2,A198 Other miliary tuberculosis,,109
2,"A199 Miliary tuberculosis, unspecified",,110
2,A20 Plague,,111
2,A200 Bubonic plague,,112
2,A201 Cellulocutaneous plague,,113
2,A202 Pneumonic plague,,114
2,A203 Plague meningitis,,115
2,A207 Septicaemic plague,,116
2,A208 Other forms of plague,,117
2,"A209 Plague, unspecified",,118
2,A21 Tularaemia,,119
2,A210 Ulceroglandular tularaemia,,120
2,A211 Oculoglandular tularaemia,,121
2,A212 Pulmonary tularaemia,,122
2,A213 Gastrointestinal tularaemia,,123
2,A217 Generalized tularaemia,,124
2,A218 Other forms of tularaemia,,125
2,"A219 Tularaemia, unspecified",,126
2,A22 Anthrax,,127
2,A220 Cutaneous anthrax,,128
2,A221 Pulmonary anthrax,,129
2,A222 Gastrointestinal anthrax,,130
2,A227 Anthrax septicaemia,,131
2,A228 Other forms of anthrax,,132
2,"A229 Anthrax, unspecified",,133
2,A23 Brucellosis,,134
2,A230 Brucellosis due to Brucella melitensis,,135
2,A231 Brucellosis due to Brucella abortus,,136
2,A232 Brucellosis due to Brucella suis,,137
2,A233 Brucellosis due to Brucella canis,,138
2,A238 Other brucellosis,,139
2,"A239 Brucellosis, unspecified",,140
2,A24 Glanders and melioidosis,,141
2,A240 Glanders,,142
2,A241 Acute and fulminating melioidosis,,143
2,A242 Subacute and chronic melioidosis,,144
2,A243 Other melioidosis,,145
2,"A244 Melioidosis, unspecified",,146
2,A25 Rat-bite fevers,,147
2,A250 Spirillosis,,148
2,A251 Streptobacillosis,,149
2,"A259 Rat-bite fever, unspecified",,150
2,A26 Erysipeloid,,151
2,A260 Cutaneous erysipeloid,,152
2,A267 Erysipelothrix septicaemia,,153
2,A268 Other forms of erysipeloid,,154
2,"A269 Erysipeloid, unspecified",,155
2,A27 Leptospirosis,,156
2,A270 Leptospirosis icterohaemorrhagica,,157
2,A278 Other forms of leptospirosis,,158
2,"A279 Leptospirosis, unspecified",,159
2,"A28 Other zoonotic bacterial diseases, NEC",,160
2,A280 Pasteurellosis,,161
2,A281 Cat-scratch disease,,162
2,A282 Extraintestinal yersiniosis,,163
2,"A288 Other specified zoonotic bacterial diseases, NEC",,164
2,"A289 Zoonotic bacterial disease, unspecified",,165
2,A30 Leprosy [Hansens disease],,166
2,A300 Indeterminate leprosy,,167
2,A301 Tuberculoid leprosy,,168
2,A302 Borderline tuberculoid leprosy,,169
2,A303 Borderline leprosy,,170
2,A304 Borderline lepromatous leprosy,,171
2,A305 Lepromatous leprosy,,172
2,A308 Other forms of leprosy,,173
2,"A309 Leprosy, unspecified",,174
2,A31 Infection due to other mycobacteria,,175
2,A310 Pulmonary mycobacterial infection,,176
2,A311 Cutaneous mycobacterial infection,,177
2,A318 Other mycobacterial infections,,178
2,"A319 Mycobacterial infection, unspecified",,179
2,A32 Listeriosis,,180
2,A320 Cutaneous listeriosis,,181
2,A321 Listerial meningitis and meningoencephalitis,,182
2,A327 Listerial septicaemia,,183
2,A328 Other forms of listeriosis,,184
2,"A329 Listeriosis, unspecified",,185
2,A33 Tetanus neonatorum,,186
2,A34 Obstetrical tetanus,,187
2,A35 Other tetanus,,188
2,A36 Diphtheria,,189
2,A360 Pharyngeal diphtheria,,190
2,A361 Nasopharyngeal diphtheria,,191
2,A362 Laryngeal diphtheria,,192
2,A363 Cutaneous diphtheria,,193
2,A368 Other diphtheria,,194
2,"A369 Diphtheria, unspecified",,195
2,A37 Whooping cough,,196
2,A370 Whooping cough due to Bordetella pertussis,,197
2,A371 Whooping cough due to Bordetella parapertussis,,198
2,A378 Whooping cough due to other Bordetella species,,199
2,"A379 Whooping cough, unspecified",,200
2,A39 Meningococcal infection,,202
2,A390 Meningococcal meningitis,,203
2,A391 Waterhouse-Friderichsen syndrome,,204
2,A392 Acute meningococcaemia,,205
2,A393 Chronic meningococcaemia,,206
2,"A394 Meningococcaemia, unspecified",,207
2,A395 Meningococcal heart disease,,208
2,A398 Other meningococcal infections,,209
2,"A399 Meningococcal infection, unspecified",,210
2,A40 Streptococcal septicaemia,,211
2,"A400 Septicaemia due to streptococcus, group A",,212
2,"A401 Septicaemia due to streptococcus, group B",,213
2,"A402 Septicaemia due to streptococcus, group D",,214
2,A403 Septicaemia due to Streptococcus pneumoniae,,215
2,A408 Other streptococcal septicaemia,,216
2,"A409 Streptococcal septicaemia, unspecified",,217
2,A41 Other septicaemia,,218
